===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
MultiComp                     ;MultiComp                           ;MultiComp:18_Common_EU              ;MultiComp:18_Common_EU              ;MultiComp Z80/...                   ;MultiComp:18_Manufacturer_EU        ;MultiComp:18_Manufacturer_EU        ;MultiComp (Z80/6502/6809)                               ;MultiComp:28_Common_EU                                  ;MultiComp:28_Common_EU                                  ;MultiComp:28_Common_EU                                  ;MultiComp:28_Common_EU                                  ;MultiComp:28_Common_EU                                  ;MultiComp:28_Common_EU                                                                                      

===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Ondra_SPO186                  ;Ondra SPO 186                       ;Ondra_SPO186:18_Common_EU           ;Ondra_SPO186:18_Common_EU           ;Tesla Ondra                         ;Ondra_SPO186:18_Manufacturer_EU     ;Ondra_SPO186:18_Manufacturer_EU     ;Ondra_SPO186:18_Common_EU                               ;Ondra_SPO186:18_Common_EU                               ;Ondra_SPO186:18_Common_EU                               ;Tesla Ondra SPO 186                                     ;Ondra_SPO186:28_Manufacturer_EU                         ;Ondra_SPO186:28_Manufacturer_EU                         ;Ondra_SPO186:28_Manufacturer_EU                                                                             
ORAO                          ;Orao                                ;ORAO:18_Common_EU                   ;ORAO:18_Common_EU                   ;Velebit Orao                        ;ORAO:18_Manufacturer_EU             ;ORAO:18_Manufacturer_EU             ;ORAO:18_Common_EU                                       ;ORAO:18_Common_EU                                       ;ORAO:18_Common_EU                                       ;Velebit Informatika Orao                                ;ORAO:28_Manufacturer_EU                                 ;ORAO:28_Manufacturer_EU                                 ;ORAO:28_Manufacturer_EU                                                                                     
Oric                          ;Oric                                ;Oric:18_Common_EU                   ;Oric:18_Common_EU                   ;Oric-1/Atmos                        ;Oric:18_Manufacturer_EU             ;Oric:18_Manufacturer_EU             ;Oric:18_Common_EU                                       ;Oric:18_Common_EU                                       ;Oric:18_Common_EU                                       ;Oric:18_Manufacturer_EU                                 ;Oric:18_Manufacturer_EU                                 ;Oric:18_Manufacturer_EU                                 ;Oric:18_Manufacturer_EU                                                                                     
PC88                          ;PC-8801                             ;PC88:18_Common_EU                   ;PC88:18_Common_EU                   ;NEC PC-8801                         ;PC88:18_Manufacturer_EU             ;PC88:18_Manufacturer_EU             ;PC88:18_Common_EU                                       ;PC88:18_Common_EU                                       ;PC88:18_Common_EU                                       ;PC88:18_Manufacturer_EU                                 ;PC88:18_Manufacturer_EU                                 ;PC88:18_Manufacturer_EU                                 ;PC88:18_Manufacturer_EU                                                                                     
PCXT                          ;PC/XT                               ;PCXT:18_Common_EU                   ;PCXT:18_Common_EU                   ;IBM PC/XT                           ;PCXT:18_Manufacturer_EU             ;PCXT:18_Manufacturer_EU             ;Personal Computer XT                                    ;PCXT:28_Common_EU                                       ;PCXT:28_Common_EU                                       ;IBM Personal Computer XT                                ;PCXT:28_Manufacturer_EU                                 ;PCXT:28_Manufacturer_EU                                 ;PCXT:28_Manufacturer_EU                                                                                     
PDP1                          ;PDP-1                               ;PDP1:18_Common_EU                   ;PDP1:18_Common_EU                   ;DEC PDP-1                           ;PDP1:18_Manufacturer_EU             ;PDP1:18_Manufacturer_EU             ;PDP1:18_Common_EU                                       ;PDP1:18_Common_EU                                       ;PDP1:18_Common_EU                                       ;PDP1:18_Manufacturer_EU                                 ;PDP1:18_Manufacturer_EU                                 ;PDP1:18_Manufacturer_EU                                 ;PDP1:18_Manufacturer_EU                                                                                     
PET2001                       ;Commodore PET 2001                  ;PET2001:18_Common_EU                ;PET2001:18_Common_EU                ;Comm. PET 2001                      ;PET2001:18_Manufacturer_EU          ;PET2001:18_Manufacturer_EU          ;PET2001:18_Common_EU                                    ;PET2001:18_Common_EU                                    ;PET2001:18_Common_EU                                    ;PET2001:18_Common_EU                                    ;PET2001:18_Common_EU                                    ;PET2001:18_Common_EU                                    ;PET2001:18_Common_EU                                                                                        
PMD85                         ;PMD 85-2A                           ;PMD85:18_Common_EU                  ;PMD85:18_Common_EU                  ;Tesla PMD 85-2A                     ;PMD85:18_Manufacturer_EU            ;PMD85:18_Manufacturer_EU            ;PMD85:18_Common_EU                                      ;PMD85:18_Common_EU                                      ;PMD85:18_Common_EU                                      ;PMD85:18_Manufacturer_EU                                ;PMD85:18_Manufacturer_EU                                ;PMD85:18_Manufacturer_EU                                ;PMD85:18_Manufacturer_EU                                                                                    
QL                            ;Sinclair QL                         ;QL:18_Common_EU                     ;QL:18_Common_EU                     ;Sinc. QL                            ;QL:18_Manufacturer_EU               ;QL:18_Manufacturer_EU               ;QL:18_Common_EU                                         ;QL:18_Common_EU                                         ;QL:18_Common_EU                                         ;QL:18_Common_EU                                         ;QL:18_Common_EU                                         ;QL:18_Common_EU                                         ;QL:18_Common_EU                                                                                             
